car_name,car_year,car_price,car_color,car_fuel,car_origin,car_license,car_gear,car_glass,car_motor_power,car_speedometer,car_number_of_passengers,car_driver_system_type,car_payment_method,car_previous_owners,car_sunroof,car_magnesium_rims
فولكسفاجن ترانسبورتر,2015,120000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,122000,7+1,,نقدا فقط,يد اولى,,
ستروين بيرلينجو,2015,85000,كحلي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,47000,4+1,,إمكانية التقسيط,0,,1
فورد فوكس,2014,63000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,110000,4+1,,إمكانية التقسيط,1,,1
فولكسفاجن بولو,2004,32000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,١٢٣٤٥,4+1,,إمكانية التقسيط,4,,1
مرسيدس E270,2001,75000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2700,,4+1,,إمكانية التقسيط,,1,1
هونداي اكسنت,2014,51000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,١٢٠,4+1,,نقدا فقط,٠٠٠٠,,1
هونداي اكسنت,2014,58500,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,46000,4+1,,نقدا فقط,يد أولى,,
هونداي اكسنت,2016,67000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,32343,4+1,,إمكانية التقسيط,0,,1
كيا سبورتاج,2016,100000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1700,60000,4+1,,نقدا فقط,0,,1
سكودا اوكتافيا,2012,70000,بني,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1600,180000,4+1,,إمكانية التقسيط,ثانية,,1
بي ام دبليو 325,2005,157000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,159000,3+1,,نقدا فقط,4,1,1
فولكسفاجن طوارق,2011,200000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,163000,4+1,,نقدا فقط,5,1,1
اوبل كورسا,2014,48000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,70000,4+1,,نقدا فقط,يد أولى,,1
اوبل كورسا,2009,45000,بترولي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,89000,4+1,,نقدا فقط,يد ثانية,,1
كيا برايد,2008,44000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,100000,4+1,,نقدا فقط,,,1
مرسيدس 220,1999,27000,أسود ميتالك,ديزل,عمومي,فلسطينية,عادي,الكتروني,220,,4+1,,نقدا فقط,يد خمسة,,1
كيا ريو,2010,48000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,71000 كم,4+1,,نقدا فقط,يد اولى,,
اوبل استرا,1996,25000,أحمر,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,00000,4+1,,نقدا فقط,4,,
هونداي سانتافيه,2007,59999,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,٢٢٠,6+1,,نقدا فقط,,1,1
كيا سبورتاج,2013,85000,أحمر,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,70000,4+1,,إمكانية التقسيط,1,1,1
فيات باندا,2009,35000,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,85000,4+1,,نقدا فقط,3,,
سكودا اوكتافيا,2015,120000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,130،000,4+1,,نقدا فقط,0,,1
هونداي سانتافيه,2007,65000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,,6+1,,نقدا فقط,,1,1
بي ام دبليو 520,1996,55000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2000,123,4+1,,إمكانية التقسيط,3,1,1
فولكسفاجن بولو,2015,62000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,53000,4+1,,إمكانية التقسيط,يد ثانيه,,1
هونداي سانتافيه,2007,49999,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,230,6+1,,نقدا فقط,٢,1,1
سكودا اوكتافيا,2012,70000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,٠٠٠٠٠٠,4+1,,إمكانية التقسيط,١,,1
سكودا رابيد,2015,77000,كحلي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,,نقدا فقط,0,,1
سيت توليدو,2004,33000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,4+1,,نقدا فقط,5,,1
اوبل اسكونا,1984,8000,بيج,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,0000,4+1,,نقدا فقط,5,,
كيا برايد,2009,47500,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,٧٠ الف,4+1,,نقدا فقط,4,,1
فيات بونتو,2009,37000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,4+1,,نقدا فقط,يد ثانيه,,
تويوتا اورايون,2018,17000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,125,٧٥٠ كيلو,1+1,,نقدا فقط,١,,
هونداي افانتي,2006,33000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,,نقدا فقط,,,1
مرسيدس 280,1985,18000,رصاصي,بنزين,حكومي,فلسطينية,اوتوماتيك,الكتروني,2800,,4+1,,إمكانية التقسيط,,,
جييب شيروكي,2005,85000,فضي,بنزين,حكومي,فلسطينية,اوتوماتيك,الكتروني,4750,,4+1,,إمكانية التقسيط,3,1,1
سكودا فابيا,2010,45000,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,130000,4+1,,نقدا فقط,3,,
بيجو 207,2008,38000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,123456,,,نقدا فقط,1,1,
جييب Compas,2014,150000,أسود,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2400,40000,4+1,,نقدا فقط,اولى,,1
فولكسفاجن CC,2011,87000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,4+1,,نقدا فقط,,1,1
سكودا اوكتافيا,2003,45000,فيراني,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,1900,,4+1,,إمكانية التقسيط,,,
ستروين كسارا,2002,19500,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,٦٠٠٠٠٠,4+1,,نقدا فقط,خمسه,,1
هونداي سوناتا,2008,51000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,120000,4+1,,إمكانية التقسيط,يد اولا,,1
سكودا اوكتافيا,2013,82000,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,290000,4+1,,إمكانية التقسيط,1,,1
كيا برايد,2016,68000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,30000,4+1,,نقدا فقط,غير منمره,,1
هونداي توسان,2015,129900,ذهبي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,49000,4+1,,نقدا فقط,0,1,1
فولكسفاجن جولف,2014,87000,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,,,نقدا فقط,,,1
اوبل زافيرا,2003,40000,كحلي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1900,,4+1,,إمكانية التقسيط,,,
هونداي 2006,2006,45000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,200000,4+1,,نقدا فقط,4,1,1
فورد ترانزيت,1998,30000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,2000,00000,7+1,,نقدا فقط,4,,
فولكسفاجن كادي,2013,80000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,150000,6+1,,نقدا فقط,يد اولا,,
سكودا اوكتافيا,2016,105000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,49000,4+1,,نقدا فقط,يد اولى,,1
مرسيدس E270,2003,750000,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2700,275 ألف كم,4+1,,نقدا فقط,4,1,1
فولكسفاجن كادي,2000,29000,أخضر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,290000,4+1,,إمكانية التقسيط,1,,
هونداي توسان,2017,146000,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,60000,4+1,,نقدا فقط,استيراد كوري,1,1
تويوتا  تندر,1998,85000,أزرق,ديزل,خصوصي,فلسطينية,عادي,يدوي,2000,,,,إمكانية التقسيط,,,
فولكسفاجن باسات,2012,98000,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,95000,4+1,,نقدا فقط,ثانية,1,1
مرسيدس فيتو,2005,60000,أبيض عاجي,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,2200,000,7+1,,إمكانية التقسيط,2,,1
كيا سبورتاج,2012,95000,رمادي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,105000,5+1,,إمكانية التقسيط,2,1,1
فيات اونو,1986,14000,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1000,,4+1,,نقدا فقط,,,1
مرسيدس 230,1986,7000,سكني,بنزين,عمومي,فلسطينية,اوتوماتيك,الكتروني,230,,4+1,,نقدا فقط,,1,
هونداي سانتافيه,2008,72000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,14000,6+1,,نقدا فقط,ثانيه,1,1
سكودا اوكتافيا,2015,92000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,102000,4+1,,نقدا فقط,يد ثانية,1,
فيات اونو,1986,15000,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,,4+1,,نقدا فقط,,,
بيجو 307,2005,33000,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,,نقدا فقط,,1,1
فولكسفاجن جولف,2016,167000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,68000,4+1,,إمكانية التقسيط,,1,1
كيا سورينتو,2014,120000,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,65000,6+1,,إمكانية التقسيط,يد ثانية,,1
هونداي الانترا,1999,15500,فضي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,٠٠٠,4+1,,نقدا فقط,٥,,1
سكودا اوكتافيا,2016,95000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,200,4+1,,إمكانية التقسيط,0,,1
سكودا اوكتافيا,2015,95000,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,,إمكانية التقسيط,1,,1
هونداي الانترا,2005,32000,سكني,ديزل,عمومي,فلسطينية,عادي,الكتروني,2000,,,,إمكانية التقسيط,,,
فولكسفاجن كادي,2013,85000,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,77,6+1,,إمكانية التقسيط,يد اولى,,1
سكودا اوكتافيا,2008,60000,أزرق,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,526325,4+1,,نقدا فقط,يد ثانية,,1
كيا سيراتو,2007,45500,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,180,4+1,,إمكانية التقسيط,3,,1
فولكسفاجن جولف,2011,75000,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,4+1,,نقدا فقط,,,1
هونداي توسان,2006,37000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,250,4+1,,نقدا فقط,4,,1
سكودا اوكتافيا,2007,660000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,821111,4+1,,نقدا فقط,5,,1
ستروين DS3,2014,85000,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,50000,4+1,,إمكانية التقسيط,2,,1
كيا اوبتيما,2009,55000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,,إمكانية التقسيط,,1,1
بيجو 107,2011,32000,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1000,,,,إمكانية التقسيط,,,
سيت قرطبة,2007,32000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1600,450000,4+1,,إمكانية التقسيط,ثالثة,,1
سكودا اوكتافيا,2015,110000,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,1111,4+1,,إمكانية التقسيط,2,,1
فولكسفاجن كادي,2015,90000,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,71000,,,إمكانية التقسيط,يد أولى,,1
كيا برايد,2007,45000,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,,نقدا فقط,,,1
كيا برايد,2007,44000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,,إمكانية التقسيط,,1,1
هونداي اكسنت,2014,65000,رمادي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,60000,4+1,,نقدا فقط,يد اولى,1,1
هونداي سانتافيه,2006,69000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,130000 كيلو متر,6+1,,إمكانية التقسيط,يد اولى,1,1
بي ام دبليو 320,2006,64000,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,133000,4+1,,نقدا فقط,5,1,1
هونداي توسان,2015,107000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,1234,4+1,,نقدا فقط,1,,1
بي ام دبليو 330i,2005,90000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,3000,180000,4+1,,إمكانية التقسيط,4,1,
كيا برايد,2007,43900,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,219,4+1,,إمكانية التقسيط,5,,1
بي ام دبليو X5,2009,200000,أسود,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,3000,,4+1,,إمكانية التقسيط,ثانيه,1,1
اوبل كورسا,2015,55000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,51000,4+1,,نقدا فقط,يد اولى,1,1
ميتسوبيشي اوت لاندر,2014,100000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,105000,6+1,,نقدا فقط,يد أولى,1,1
بيجو بارتنر,2012,45000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,,نقدا فقط,يد ثانيه,,1
فولكسفاجن جولف,2005,52000,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,٢١٥٠٠٠,4+1,,نقدا فقط,يد ثالثه,,1
اودي Q5,2012,145000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,157000,4+1,,نقدا فقط,يد اولى,1,1
سيت ليون,2016,75000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,84000,,,إمكانية التقسيط,اولى,,1
سكودا اوكتافيا,2015,102000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,92000,4+1,,إمكانية التقسيط,اولى,,1
شفروليه ترافرس,2011,130000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3600,80000,7+1,,إمكانية التقسيط,3,1,1
فولكسفاجن بورا,2002,40000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,١٨٠٠٠٠,4+1,,إمكانية التقسيط,٥,,
سكودا اوكتافيا,2012,59000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1600,,4+1,,نقدا فقط,يد ثانيه,,1
فولكسفاجن باسات,2003,43000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1900,,4+1,,نقدا فقط,,,
مرسيدس 200,1992,40000,بني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,١٤٠٠٠٠,4+1,,إمكانية التقسيط,يد ثالثه,1,1
هونداي فيرنا,2002,32000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,000000000000,4+1,,نقدا فقط,4,,
كيا ريو,2009,34000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1600,15000,4+1,,نقدا فقط,يد اولى,,
سوبارو نملة,1983,15000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,٠٠٠,4+1,,نقدا فقط,٤,,1
فولكسفاجن بولو,2015,62000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,77000,4+1,,نقدا فقط,يد اولى,,1
سكودا فابيا,2015,57000,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,51000,4+1,,نقدا فقط,3,,
ستروين بيرلينجو,2016,70000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,٤١٠٠٠,4+1,,نقدا فقط,اولى,,
سكودا فابيا,2015,55000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,50000,4+1,,نقدا فقط,2,,
مرسيدس فيتو,2019,130000,سكني,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,3000,50000,7+1,,إمكانية التقسيط,3,,1
هونداي اكسنت,2016,77000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,45000,4+1,,نقدا فقط,يد اولى,,1
كيا سبورتاج,2012,10000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,,إمكانية التقسيط,2,1,1
مرسيدس E200,2010,140000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1900,75000,4+1,,نقدا فقط,يد أولى,1,1
فولفو 1997,1997,65000,أبيض عاجي,ديزل,تجاري,فلسطينية,عادي,الكتروني,210,25000,2+1,,إمكانية التقسيط,يد ثانيه,,
فولكسفاجن بولو,2015,62000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,125000,4+1,,نقدا فقط,اولى,,1
مرسيدس ١٩٩٨,1998,3500,أزرق,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1400,,7+1,,نقدا فقط,٦,,
مازدا 3,2007,45000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,,إمكانية التقسيط,,1,1
فورد اسكورت,1996,13000,أبيض,بنزين,حكومي,فلسطينية,عادي,الكتروني,1600,٢٠٠٠٠٠٠,4+1,,نقدا فقط,٤,,
سكودا فابيا,2011,60000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,******,4+1,,نقدا فقط,يد اولى,1,1
سكودا سوبيرب,2005,45000,أبيض عاجي,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,1900,,,,إمكانية التقسيط,,,1
سكودا اوكتافيا,2011,78000,كحلي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,140000,4+1,,إمكانية التقسيط,1,,1
بيجو  بارتنر Tepee,2015,90000,كحلي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,153000,6+1,,إمكانية التقسيط,يد اولى,,
شفروليه اوبترا,2007,35000,أخضر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,,,إمكانية التقسيط,,,1
هونداي اكسنت,2015,62000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,4+1,,نقدا فقط,٢,,1
اوبل موكا mokka,2016,105000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,60000,4+1,,إمكانية التقسيط,يد أولى,,1
سكودا اوكتافيا,2010,63000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,103106,,,نقدا فقط,4,,1
سيت ابيزا,2013,53000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,,4+1,,إمكانية التقسيط,,,1
سوبارو امبريزا,1999,33000,رصاصي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,,نقدا فقط,,,1
سكودا اوكتافيا,2014,92000,بني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,90000,4+1,,إمكانية التقسيط,يد اولى,1,1
فيات 127,1984,6000,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,900,,4+1,,نقدا فقط,,,
كيا سبورتاج,2012,105000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,١٠٧٠٠٠,4+1,,إمكانية التقسيط,,1,1
هونداي تراجيت,2007,55000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1990,360000,7+1,,نقدا فقط,3,,1
سيت ابيزا,2012,47000,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,1,,إمكانية التقسيط,,,1
ستروين جامبي,2015,110000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,110000,7+1,,إمكانية التقسيط,يد ثانيه,,1
بي ام دبليو 316,2005,65000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,,إمكانية التقسيط,يد اولا,1,
بيجو 407,2007,47000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,١٧٠٠٠٠,4+1,,نقدا فقط,يد ثانية,1,1
سيت قرطبة,2007,40000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1989,,4+1,,إمكانية التقسيط,,,1
سكودا اوكتافيا,2014,84000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,,إمكانية التقسيط,١,,1
اودي Q5,2012,135000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,94500,4+1,,إمكانية التقسيط,يد أولى,1,1
كيا برايد,2007,40000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,120,4+1,,نقدا فقط,3,,1
اوبل استرا,2002,40000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,124000,4+1,,نقدا فقط,يد ثانية,,
سكودا فابيا,2005,35000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,4+1,,نقدا فقط,يد6,,
ميتسوبيشي سبيس واجن,1999,28000,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,170000,6+1,,نقدا فقط,ثانيه,,
بيجو 405,1989,15000,بيج,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,121212,4+1,,إمكانية التقسيط,6,,
بيجو 306,1999,20000,رصاصي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,,4+1,,نقدا فقط,,,
رينو R9,1982,7500,بيج,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,1234567,4+1,,نقدا فقط,6,,
كيا سبورتاج,2006,52000,أخضر,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,113000,,,نقدا فقط,3,1,1
هونداي افانتي,2006,45000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,٠٠٠٠٠٠٠٠٠٠٠,4+1,,نقدا فقط,1,,1
بيجو بارتنر,2014,55000,أحمر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,298000,4+1,,إمكانية التقسيط,يد اولى,,
كيا سيراتو,2017,75000,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,62000,4+1,,نقدا فقط,غير منمره,,1
فورد ترانزيت,1990,23000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,يدوي,2500,,7+1,,نقدا فقط,3,,
فولكسفاجن كرافيل,2006,62000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,,7+1,,إمكانية التقسيط,,,
كيا سول,2012,55000,عدة الوان,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,00000000000,4+1,,إمكانية التقسيط,3,,1
هونداي سانتافيه,2015,132000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,63000,6+1,,نقدا فقط,00,1,1
فورد فيستا,2014,46000,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,80000,4+1,,نقدا فقط,يد اولى,,1
فورد فيستا,2012,40000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,,4+1,,نقدا فقط,,,1
مرسيدس C200,2002,47900,فضي,بنزين,عمومي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,,إمكانية التقسيط,5,1,1
رينو فلوانس,2010,6500,أسود,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1600,203000كيلو متر,4+1,,نقدا فقط,2يد,,
مرسيدس 280,2009,120000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,٢٦٠٠٠٠,5+1,,نقدا فقط,٢,1,1
اوبل استرا,2006,44000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,21000,4+1,,نقدا فقط,يد ثانيه,,1
سكودا اوكتافيا,2011,55000,بني,ديزل,عمومي,فلسطينية,عادي,الكتروني,1600,360000,4+1,,إمكانية التقسيط,يد ثانية,,
فولكسفاجن GTI,2014,133000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,750000,,,نقدا فقط,3,1,1
فولكسفاجن جولف,2003,41000,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,148372,4+1,,نقدا فقط,2,,1
اودي A4,1997,30000,زيتي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,4+1,,نقدا فقط,2,1,1
فولكسفاجن بولو,2015,79000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,72000,4+1,,إمكانية التقسيط,1,,1
مرسيدس C300,2015,245000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,,إمكانية التقسيط,1,1,1
مرسيدس C220,2000,32000,ذهبي,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,2200,,4+1,,نقدا فقط,,,1
مرسيدس SL350,2012,250000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3500,,4+1,,إمكانية التقسيط,يد اولى,1,1
سكودا اوكتافيا,2010,60000,رصاصي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,,4+1,,نقدا فقط,يد ثالثة,,
كيا بيكانتو,2018,75000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,0 صفر كيلو,4+1,,نقدا فقط,غير منمره,1,1
بيجو 205,1999,20000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,150000,4+1,,نقدا فقط,3,1,1
كيا برايد,2007,40000,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,٠٠,4+1,,نقدا فقط,٠٠,,1
اودي A4,2005,34000,أبيض,بنزين,حكومي,فلسطينية,اوتوماتيك,الكتروني,2000,,,,نقدا فقط,,,1
فولكسفاجن جيتا,1984,10000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1300,200000,4+1,,إمكانية التقسيط,12,,
